Gender,EmployeeID,MonthlyIncome,PerformanceRating,PercentSalaryHike,JobLevel,Education,JobInvolvement,StockOptionLevel,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,JR_HealthRep,JR_HHRR,JR_LabTec,JR_Man,JR_MftDir,JR_ResDir,JR_ResSci,JR_SaleExc,JR_SaleRep,MaritalStatus,DistanceFromHome,TotalWorkingYears,Age,NumCompaniesWorked,Dept_HHRR,Dept_R&Dev,Dept_Sales,Ed_HHRR,Ed_LifeSci,Ed_Mktg,Ed_Med,Ed_Tech,Ed_Other,BusinessTravel,Attrition
1,54,35400,3,13,1,1,3,0,24,1.0,1.0,3.0,6,9,11,0,0,0,0,0,0,0,1,0,3,0,2,2,0,0,1,0,0,0,0,1,0,0,2,0
1,55,28040,3,19,2,4,3,2,2,3.0,4.0,1.0,0,2,2,0,0,0,0,0,0,1,0,0,3,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,56,193920,3,12,4,3,3,1,10,4.0,2.0,3.0,3,8,8,0,0,0,0,0,1,0,0,0,1,1,1,1,3,0,1,0,0,1,0,0,0,0,2,0
0,57,196650,4,22,1,4,3,1,21,3.0,1.0,3.0,6,11,10,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,1,0,0,0,0,1,0
0,58,24390,3,15,4,4,3,0,8,3.0,4.0,3.0,2,1,7,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,2,0
0,59,73140,4,22,3,3,3,0,7,3.0,3.0,3.0,2,0,7,0,0,0,0,1,0,0,0,0,2,0,2,2,3,0,1,0,0,1,0,0,0,0,1,0
1,60,47740,3,18,2,1,3,1,8,3.0,2.0,2.0,2,7,7,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,1,0,0,1,0,0,0,0,1,1
0,61,39020,4,22,3,4,3,0,4,3.0,2.0,2.0,2,1,2,0,0,0,0,0,0,1,0,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,62,26620,3,11,3,3,4,1,13,3.0,2.0,3.0,6,11,9,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,63,28560,3,12,4,2,4,2,5,4.0,3.0,3.0,5,0,4,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,64,10810,3,11,2,3,4,3,7,4.0,4.0,3.0,4,1,7,1,0,0,0,0,0,0,0,0,3,4,1,1,2,0,0,1,0,1,0,0,0,0,1,0
0,65,24720,3,13,2,3,3,0,7,1.0,4.0,2.0,2,0,7,1,0,0,0,0,0,0,0,0,2,1,1,1,3,0,1,0,0,0,0,0,1,0,1,0
0,66,56730,3,14,1,4,2,1,3,1.0,4.0,2.0,4,2,2,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,0,0,0,0,1,0,0,1,1
1,67,41970,3,13,4,3,3,0,10,4.0,4.0,3.0,3,1,9,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,68,97130,3,17,1,1,2,0,10,3.0,3.0,3.0,5,8,9,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0
1,69,20620,3,13,1,4,3,0,21,3.0,4.0,3.0,4,13,3,0,0,0,0,0,0,1,0,0,1,3,2,2,0,0,1,0,0,0,0,1,0,0,2,0
1,70,42840,3,17,1,1,3,1,1,4.0,3.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,1,0,0,1,1
0,71,47880,3,11,4,2,3,1,7,2.0,4.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0
1,72,59060,4,23,2,3,4,0,3,4.0,3.0,3.0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,2,2,2,0,1,0,0,1,0,0,0,0,1,0
1,73,38860,3,17,5,3,3,2,9,3.0,3.0,4.0,2,0,0,0,0,0,0,0,1,0,0,0,3,2,0,2,0,0,1,0,0,0,0,1,0,0,2,0
0,74,168230,3,17,1,3,3,0,5,3.0,2.0,3.0,3,1,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,75,29330,3,12,2,4,3,2,4,4.0,3.0,2.0,2,0,3,0,0,0,0,0,0,1,0,0,2,0,2,3,1,0,1,0,0,1,0,0,0,0,2,0
1,76,65000,4,23,2,2,3,0,1,3.0,1.0,2.0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,4,0,1,0,0,1,0,0,0,0,1,0
1,77,171740,3,14,1,1,3,1,10,4.0,4.0,3.0,6,9,8,0,0,0,0,0,0,0,1,0,1,0,1,2,4,0,0,1,0,0,1,0,0,0,1,0
0,78,50330,3,14,4,4,3,2,4,2.0,4.0,2.0,6,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0
1,79,23070,3,13,1,3,3,1,7,2.0,1.0,2.0,0,0,7,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,1,0,0,0,0,1,0,0,1,1
0,80,25870,4,22,3,3,3,2,3,2.0,4.0,3.0,3,2,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
0,81,55070,3,12,2,3,2,2,10,4.0,3.0,3.0,2,1,2,0,0,0,0,0,0,1,0,0,3,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0
0,82,43930,3,18,1,2,2,1,8,2.0,2.0,3.0,2,0,7,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,83,133480,3,14,2,4,3,0,6,4.0,4.0,2.0,4,0,4,1,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,1,0,1,0,0,0,0,1,0
0,84,65830,3,12,1,4,3,0,11,3.0,4.0,3.0,1,2,9,0,0,1,0,0,0,0,0,0,3,5,1,2,0,0,1,0,0,0,0,1,0,0,1,0
0,86,39780,3,11,3,4,3,0,7,4.0,2.0,3.0,0,1,7,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,87,25440,3,13,3,2,4,1,16,3.0,2.0,3.0,3,0,13,0,0,0,1,0,0,0,0,0,2,3,1,1,0,0,0,1,0,0,0,0,1,0,1,0
0,88,53990,4,23,1,4,2,0,4,3.0,4.0,2.0,2,0,2,0,0,0,0,1,0,0,0,0,3,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,89,54870,3,19,1,2,3,2,5,4.0,2.0,3.0,0,1,2,0,0,1,0,0,0,0,0,0,2,1,0,2,3,0,1,0,0,1,0,0,0,0,1,0
1,90,68340,3,16,2,3,4,1,0,2.0,3.0,3.0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,1,0,0,2,0
0,91,10910,4,22,1,4,1,0,1,1.0,4.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0
0,92,57360,4,22,2,4,2,0,4,4.0,3.0,2.0,1,0,2,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,93,22260,3,12,3,4,2,1,3,3.0,3.0,3.0,3,1,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0
0,94,57470,3,13,2,3,3,0,8,3.0,2.0,3.0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,95,98540,3,16,4,4,2,1,0,1.0,3.0,1.0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,0,0,1,0,0,0,1,0,0,1,0
0,96,54670,3,12,2,5,3,0,7,3.0,1.0,3.0,2,6,7,0,0,0,0,1,0,0,0,0,3,1,1,1,2,0,1,0,0,0,0,0,1,0,1,0
0,97,53800,4,21,1,4,3,1,2,4.0,3.0,4.0,0,2,2,1,0,0,0,0,0,0,0,0,1,5,0,1,3,0,0,1,0,0,0,0,0,1,0,0
1,98,51510,3,15,5,3,3,3,8,3.0,3.0,3.0,3,7,7,0,0,1,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,99,21330,3,13,1,2,3,2,1,1.0,4.0,3.0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,1,0,0,0,1,0,0,1,0
1,100,178750,3,12,4,3,2,0,3,1.0,2.0,3.0,5,1,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1
0,101,24320,4,22,2,3,1,0,1,4.0,4.0,3.0,4,0,0,0,0,1,0,0,0,0,0,0,2,5,0,1,2,1,0,0,1,0,0,0,0,0,0,0
1,102,47710,3,13,2,3,3,1,13,1.0,4.0,3.0,2,1,12,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,1,0,0,1,0,0,0,0,2,0
0,103,191610,3,18,5,4,1,0,3,4.0,3.0,3.0,2,1,2,0,0,0,0,0,0,1,0,0,1,4,1,3,1,0,1,0,0,1,0,0,0,0,1,0
0,104,50870,3,14,2,3,3,1,7,4.0,3.0,3.0,3,1,7,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,1,1,0
1,105,28630,3,14,2,5,1,0,3,1.0,4.0,2.0,2,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,106,55610,4,21,5,2,1,1,1,4.0,3.0,3.0,3,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,1,0,0,1,0,0,0,0,0,1,1
0,107,21440,3,19,4,3,4,0,5,3.0,1.0,3.0,3,0,3,0,0,0,0,0,0,1,0,0,1,1,1,1,3,0,1,0,0,1,0,0,0,0,1,0
1,108,30650,3,11,2,4,3,0,1,3.0,3.0,4.0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0
1,109,28100,3,11,1,1,4,0,8,1.0,2.0,3.0,3,7,7,0,0,0,0,0,0,1,0,0,2,3,0,2,0,0,1,0,0,0,0,1,0,0,2,1
1,110,98880,3,15,3,3,3,0,4,4.0,4.0,3.0,2,1,3,0,0,1,0,0,0,0,0,0,2,1,2,2,3,0,1,0,0,0,0,1,0,0,1,0
1,111,86280,4,20,1,3,2,0,6,3.0,3.0,3.0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0,1,1
0,113,53730,3,12,1,2,3,1,1,3.0,2.0,3.0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,114,66670,3,12,2,3,4,1,3,4.0,4.0,3.0,6,1,2,0,0,0,0,0,1,0,0,0,2,0,0,1,4,0,1,0,0,1,0,0,0,0,1,0
1,115,50030,3,15,3,3,3,0,1,3.0,2.0,3.0,2,0,0,0,0,0,0,0,0,0,1,0,2,5,1,1,4,0,1,0,0,1,0,0,0,0,1,0
0,117,28580,3,12,3,2,2,0,7,2.0,4.0,3.0,2,0,7,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,118,52040,3,14,2,3,3,1,5,2.0,3.0,3.0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,2,2,4,0,0,1,0,0,0,0,1,0,1,0
0,119,41050,4,22,1,2,3,1,7,3.0,4.0,2.0,2,0,7,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,1,0,0,1,0,0,0,0,1,0
0,120,96790,3,12,1,2,3,0,2,4.0,3.0,3.0,1,2,2,0,0,0,0,0,0,0,1,0,1,3,0,1,2,0,0,1,0,1,0,0,0,0,1,0
0,121,56170,4,25,1,3,3,1,5,1.0,4.0,2.0,3,0,4,0,0,0,0,0,0,0,0,1,2,1,0,1,4,0,1,0,0,1,0,0,0,0,0,1
0,122,104480,3,13,1,3,3,0,5,3.0,4.0,3.0,3,1,2,0,0,1,0,0,0,0,0,0,2,5,3,3,1,0,0,1,0,0,1,0,0,0,1,0
1,123,28970,3,18,5,3,3,3,5,4.0,3.0,4.0,4,0,3,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,124,59680,3,13,2,3,3,0,1,3.0,2.0,3.0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,126,29910,3,19,1,5,2,2,2,1.0,2.0,3.0,3,1,2,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0
1,127,196360,3,12,5,3,3,1,10,2.0,3.0,3.0,3,9,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
0,128,11290,3,19,3,2,2,0,1,3.0,4.0,3.0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,4,0,0,1,0,0,1,0,0,0,2,1
0,129,133410,3,14,1,1,3,1,18,4.0,1.0,2.0,3,12,17,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0
0,130,43320,3,14,3,2,2,2,5,4.0,2.0,3.0,3,1,3,0,0,0,0,0,0,1,0,0,3,1,0,2,3,0,1,0,0,0,0,1,0,0,1,0
1,131,110310,3,12,4,3,2,1,5,2.0,1.0,3.0,2,1,2,0,0,0,1,0,0,0,0,0,3,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0
0,132,44400,3,11,3,1,2,1,1,3.0,2.0,2.0,3,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
1,133,46170,3,11,1,2,3,0,25,1.0,2.0,3.0,2,3,9,0,0,0,0,0,0,0,1,0,3,2,2,2,0,0,0,1,0,1,0,0,0,0,1,0
1,134,26470,3,13,1,2,2,0,1,2.0,3.0,3.0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,3,0,0,1,0,1,0,0,0,0,1,0
1,135,63230,4,23,2,3,2,1,4,1.0,1.0,2.0,2,1,2,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,0,0,0,1,0,0,0,0,1,0
0,136,56770,4,20,1,3,3,1,3,3.0,3.0,3.0,3,1,2,0,0,1,0,0,0,0,0,0,1,5,0,1,4,0,1,0,0,0,0,1,0,0,0,0
0,137,21870,3,15,3,4,2,1,13,2.0,1.0,1.0,2,3,12,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0
0,139,39770,3,18,2,4,3,1,5,3.0,3.0,3.0,3,0,2,0,0,0,0,0,0,0,0,1,3,5,0,2,2,0,0,1,0,1,0,0,0,0,1,0
0,140,86330,3,19,1,2,4,1,5,2.0,4.0,3.0,2,1,3,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
0,141,20080,4,22,3,3,2,0,13,2.0,3.0,3.0,5,10,7,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
0,142,44400,3,13,3,1,3,1,4,4.0,1.0,3.0,2,3,2,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,143,30670,4,20,1,4,1,1,21,2.0,3.0,3.0,5,1,6,0,0,0,0,0,0,0,1,0,3,5,2,2,0,0,1,0,0,0,0,0,1,0,2,0
1,144,53210,3,14,3,4,3,0,7,3.0,1.0,2.0,1,7,7,0,0,0,0,0,0,0,1,0,1,4,3,3,4,0,1,0,0,1,0,0,0,0,2,0
1,145,54100,3,17,2,4,3,1,5,2.0,3.0,3.0,2,4,4,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,146,27820,3,14,3,3,2,0,10,2.0,1.0,3.0,2,0,7,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0
0,147,119570,3,13,3,3,2,0,10,3.0,1.0,3.0,2,1,8,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
1,148,26600,3,13,3,2,3,0,2,1.0,1.0,3.0,3,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,1,0,0,0,0,1,1
1,149,33750,4,21,2,2,2,0,5,4.0,3.0,3.0,2,0,4,0,0,0,0,0,0,0,0,1,1,5,2,2,1,0,1,0,0,1,0,0,0,0,1,0
1,150,50980,3,14,1,3,3,1,2,1.0,4.0,2.0,4,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0
0,151,48780,3,11,2,3,3,1,5,4.0,4.0,1.0,3,1,4,0,0,0,0,0,0,1,0,0,1,2,3,2,1,0,1,0,0,0,0,1,0,0,1,0
1,152,28370,3,13,2,3,2,1,5,1.0,3.0,3.0,0,0,2,1,0,0,0,0,0,0,0,0,3,2,1,2,1,0,0,1,0,0,1,0,0,0,2,0
0,153,24060,4,20,1,3,3,1,5,3.0,4.0,3.0,5,0,2,0,0,0,0,0,0,0,1,0,2,5,1,1,1,0,0,1,0,0,1,0,0,0,1,0
1,154,22690,3,18,1,3,3,1,29,1.0,1.0,1.0,4,11,10,0,0,0,0,1,0,0,0,0,1,2,3,3,2,0,1,0,0,1,0,0,0,0,1,0
1,155,41080,3,14,1,4,2,0,10,3.0,3.0,2.0,5,0,8,0,0,0,0,0,0,0,1,0,3,3,1,2,1,0,0,1,0,0,1,0,0,0,1,0
0,156,132060,3,13,4,4,3,2,6,4.0,4.0,4.0,2,0,4,0,0,0,0,0,0,0,1,0,1,3,0,2,0,0,1,0,0,0,0,0,1,0,2,0
0,157,104220,3,17,1,2,2,1,5,1.0,2.0,3.0,0,1,4,0,0,0,0,0,0,1,0,0,2,5,0,1,0,0,1,0,0,0,0,1,0,0,1,1
