ID,Active,Gender,Age,Marital ST,Income,Salary Hike,Years in Co.,Job Role,Job Level,Department,Performance,Env. Satisf,Job Satisf,Job Involv,Yr. since promo,No. training,WorkLifeBalance,YearsWithCurrManager,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,Education,EducationField,DistanceFromHome
77,No,Female,2,Married,171740,14,10,Sales Executive,1,Sales,3,4.0,4.0,3,9,6,3.0,8,1,1,4,1,Marketing,0
78,No,Male,2,Married,50330,14,4,Research Scientist,4,Research & Development,3,2.0,4.0,3,0,6,2.0,2,2,0,1,4,Other,0
79,Yes,Female,1,Married,23070,13,7,Research Scientist,1,Research & Development,3,2.0,1.0,3,0,0,2.0,7,1,0,0,3,Medical,5
80,No,Male,1,Single,25870,22,3,Sales Representative,3,Human Resources,4,2.0,4.0,3,2,3,3.0,2,2,0,0,3,Medical,1
81,No,Male,1,Divorced,55070,12,10,Research Scientist,2,Research & Development,3,4.0,3.0,2,1,2,3.0,2,2,1,0,3,Life Sciences,2
82,No,Male,1,Married,43930,18,8,Manager,1,Research & Development,3,2.0,2.0,2,0,2,3.0,7,1,0,0,2,Medical,2
83,No,Male,1,Divorced,133480,14,6,Healthcare Representative,2,Sales,3,4.0,4.0,3,0,4,2.0,4,0,0,3,4,Life Sciences,0
84,No,Male,2,Divorced,65830,12,11,Laboratory Technician,1,Research & Development,3,3.0,4.0,3,2,1,3.0,9,0,1,0,4,Medical,5
86,No,Male,1,Divorced,39780,11,7,Sales Executive,3,Research & Development,3,4.0,2.0,3,1,0,3.0,7,0,0,0,4,Life Sciences,0
87,No,Male,1,Single,25440,13,16,Manager,3,Sales,3,3.0,2.0,4,0,3,3.0,13,1,1,0,2,Technical Degree,3
88,No,Male,1,Divorced,53990,23,4,Manufacturing Director,1,Research & Development,4,3.0,4.0,2,0,2,2.0,2,0,0,0,4,Life Sciences,4
89,No,Female,2,Single,54870,19,5,Laboratory Technician,1,Research & Development,3,4.0,2.0,3,1,0,3.0,2,2,0,3,2,Life Sciences,1
90,No,Female,2,Single,68340,16,0,Laboratory Technician,2,Sales,3,2.0,3.0,4,0,2,3.0,0,1,0,1,3,Medical,0
91,No,Male,2,Single,10910,22,1,Manager,1,Research & Development,4,1.0,4.0,1,0,0,3.0,0,0,1,1,4,Life Sciences,0
92,No,Male,1,Married,57360,22,4,Human Resources,2,Sales,4,4.0,3.0,2,0,1,2.0,2,0,0,0,4,Marketing,4
93,No,Male,2,Divorced,22260,12,3,Research Scientist,3,Sales,3,3.0,3.0,2,1,3,3.0,0,1,0,0,4,Medical,1
94,No,Male,1,Married,57470,13,8,Research Scientist,2,Research & Development,3,3.0,2.0,3,0,0,3.0,7,0,0,0,3,Medical,0
95,No,Male,2,Married,98540,16,0,Sales Executive,4,Sales,3,1.0,3.0,2,0,2,1.0,0,1,1,1,4,Medical,2
96,No,Male,1,Divorced,54670,12,7,Manufacturing Director,2,Research & Development,3,3.0,1.0,3,6,2,3.0,7,0,1,2,5,Technical Degree,1
97,No,Male,1,Married,53800,21,2,Healthcare Representative,1,Sales,4,4.0,3.0,3,2,0,4.0,2,1,0,3,4,Other,5
98,No,Female,1,Married,51510,15,8,Laboratory Technician,5,Sales,3,3.0,3.0,3,7,3,3.0,7,3,0,0,3,Medical,5
99,No,Female,2,Single,21330,13,1,Laboratory Technician,1,Sales,3,1.0,4.0,3,0,2,3.0,0,2,1,1,2,Medical,0
100,Yes,Female,0,Single,178750,12,3,Manufacturing Director,4,Research & Development,3,1.0,2.0,2,1,5,3.0,2,0,0,0,3,Medical,1
101,No,Male,1,Single,24320,22,1,Laboratory Technician,2,Human Resources,4,4.0,4.0,1,0,4,3.0,0,0,0,2,3,Human Resources,5
102,No,Female,1,Married,47710,13,13,Research Scientist,2,Research & Development,3,1.0,4.0,3,1,2,3.0,12,1,1,2,3,Life Sciences,1
103,No,Male,3,Married,191610,18,3,Research Scientist,5,Research & Development,3,4.0,3.0,1,1,2,3.0,2,0,1,1,4,Life Sciences,4
104,No,Male,2,Married,50870,14,7,Sales Executive,2,Research & Development,3,4.0,3.0,3,1,3,3.0,7,1,1,1,3,Other,1
105,No,Female,0,Single,28630,14,3,Manager,2,Research & Development,3,1.0,4.0,1,2,2,2.0,2,0,0,0,5,Life Sciences,0
106,Yes,Female,1,Single,55610,21,1,Manager,5,Human Resources,4,4.0,3.0,1,0,3,3.0,0,1,0,0,2,Human Resources,5
107,No,Male,1,Married,21440,19,5,Research Scientist,4,Research & Development,3,3.0,1.0,4,0,3,3.0,3,0,1,3,3,Life Sciences,1
108,No,Female,2,Married,30650,11,1,Laboratory Technician,2,Sales,3,3.0,3.0,3,0,3,4.0,0,0,0,1,4,Marketing,0
109,Yes,Female,2,Single,28100,11,8,Research Scientist,1,Research & Development,3,1.0,2.0,4,7,3,3.0,7,0,0,0,1,Medical,3
110,No,Female,2,Single,98880,15,4,Laboratory Technician,3,Research & Development,3,4.0,4.0,3,1,2,3.0,3,0,2,3,3,Medical,1
111,Yes,Female,2,Married,86280,20,6,Healthcare Representative,1,Research & Development,4,3.0,3.0,2,1,2,3.0,0,0,0,1,3,Medical,1
113,Yes,Male,0,Single,53730,12,1,Laboratory Technician,1,Human Resources,3,3.0,2.0,3,0,2,3.0,0,1,0,0,2,Human Resources,2
114,No,Female,1,Single,66670,12,3,Research Director,2,Research & Development,3,4.0,4.0,4,1,6,3.0,2,1,0,4,3,Life Sciences,0
115,No,Female,1,Single,50030,15,1,Sales Executive,3,Research & Development,3,3.0,2.0,3,0,2,3.0,0,0,1,4,3,Life Sciences,5
117,No,Male,1,Single,28580,12,7,Manager,3,Research & Development,3,2.0,4.0,2,0,2,3.0,7,0,0,0,2,Medical,0
118,No,Male,2,Single,52040,14,5,Manufacturing Director,2,Sales,3,2.0,3.0,3,0,3,3.0,0,1,2,4,3,Technical Degree,0
119,No,Male,2,Married,41050,22,7,Sales Executive,1,Research & Development,4,3.0,4.0,3,0,2,2.0,7,1,1,2,2,Life Sciences,0
120,No,Male,1,Married,96790,12,2,Sales Executive,1,Sales,3,4.0,3.0,3,2,1,3.0,2,0,0,2,2,Life Sciences,3
121,Yes,Male,1,Single,56170,25,5,Sales Representative,1,Research & Development,4,1.0,4.0,3,0,3,2.0,4,1,0,4,3,Life Sciences,1
122,No,Male,3,Single,104480,13,5,Laboratory Technician,1,Sales,3,3.0,4.0,3,1,3,3.0,2,0,3,1,3,Marketing,5
123,No,Female,1,Divorced,28970,18,5,Manager,5,Research & Development,3,4.0,3.0,3,0,4,4.0,3,3,0,0,3,Life Sciences,0
124,No,Female,1,Married,59680,13,1,Manager,2,Research & Development,3,3.0,2.0,3,0,3,3.0,0,0,0,0,3,Life Sciences,0
126,No,Male,1,Married,29910,19,2,Research Scientist,1,Research & Development,3,1.0,2.0,2,1,3,3.0,2,2,0,0,5,Other,3
127,No,Female,1,Married,196360,12,10,Healthcare Representative,5,Research & Development,3,2.0,3.0,3,9,3,3.0,0,1,1,0,3,Medical,0
128,Yes,Male,1,Single,11290,19,1,Research Scientist,3,Sales,3,3.0,4.0,2,0,2,3.0,0,0,0,4,2,Marketing,0
129,No,Male,1,Divorced,133410,14,18,Sales Executive,1,Research & Development,3,4.0,1.0,3,12,3,2.0,17,1,1,0,1,Technical Degree,2
130,No,Male,2,Divorced,43320,14,5,Research Scientist,3,Research & Development,3,4.0,2.0,2,1,3,3.0,3,2,0,3,2,Medical,1
131,No,Female,2,Divorced,110310,12,5,Manager,4,Research & Development,3,2.0,1.0,2,1,2,3.0,2,1,0,1,3,Medical,0
132,No,Male,1,Single,44400,11,1,Sales Executive,3,Sales,3,3.0,2.0,2,0,3,2.0,1,1,1,1,1,Marketing,1
133,No,Female,2,Divorced,46170,11,25,Sales Executive,1,Sales,3,1.0,2.0,3,3,2,3.0,9,0,2,0,2,Life Sciences,2
134,No,Female,2,Married,26470,13,1,Laboratory Technician,1,Sales,3,2.0,3.0,2,0,2,3.0,0,0,2,3,2,Life Sciences,1
135,No,Female,3,Married,63230,23,4,Manufacturing Director,2,Human Resources,4,1.0,1.0,2,1,2,2.0,2,1,2,2,3,Life Sciences,1
136,No,Male,1,Married,56770,20,3,Laboratory Technician,1,Research & Development,4,3.0,3.0,3,1,3,3.0,2,1,0,4,3,Medical,5
137,No,Male,1,Married,21870,15,13,Sales Executive,3,Research & Development,3,2.0,1.0,2,3,2,1.0,12,1,1,0,4,Life Sciences,2
139,No,Male,2,Divorced,39770,18,5,Sales Representative,2,Sales,3,3.0,3.0,3,0,3,3.0,2,1,0,2,4,Life Sciences,5
140,No,Male,1,Single,86330,19,5,Manufacturing Director,1,Human Resources,3,2.0,4.0,4,1,2,3.0,3,1,0,0,2,Human Resources,1
141,No,Male,1,Married,20080,22,13,Laboratory Technician,3,Research & Development,4,2.0,3.0,2,10,5,3.0,7,0,1,1,3,Medical,0
142,No,Male,1,Married,44400,13,4,Laboratory Technician,3,Research & Development,3,4.0,1.0,3,3,2,3.0,2,1,0,0,1,Medical,4
143,No,Female,2,Divorced,30670,20,21,Sales Executive,1,Research & Development,4,2.0,3.0,1,1,5,3.0,6,1,2,0,4,Technical Degree,5
144,No,Female,3,Married,53210,14,7,Sales Executive,3,Research & Development,3,3.0,1.0,3,7,1,2.0,7,0,3,4,4,Life Sciences,4
145,No,Female,1,Single,54100,17,5,Manufacturing Director,2,Sales,3,2.0,3.0,3,4,2,3.0,4,1,0,0,4,Medical,1
146,No,Female,2,Married,27820,14,10,Research Scientist,3,Research & Development,3,2.0,1.0,2,0,2,3.0,7,0,1,0,3,Technical Degree,1
147,No,Male,1,Divorced,119570,13,10,Healthcare Representative,3,Research & Development,3,3.0,1.0,2,1,2,3.0,8,0,1,0,3,Medical,1
148,Yes,Female,1,Married,26600,13,2,Laboratory Technician,3,Research & Development,3,1.0,1.0,3,0,3,3.0,2,0,0,2,2,Life Sciences,1
149,No,Female,2,Married,33750,21,5,Sales Representative,2,Research & Development,4,4.0,3.0,2,0,2,3.0,4,0,2,1,2,Life Sciences,5
150,No,Female,2,Married,50980,14,2,Sales Executive,1,Research & Development,3,1.0,4.0,3,0,4,2.0,2,1,0,1,3,Medical,0
151,No,Male,2,Married,48780,11,5,Research Scientist,2,Research & Development,3,4.0,4.0,3,1,3,1.0,4,1,3,1,3,Medical,2
152,No,Female,2,Divorced,28370,13,5,Healthcare Representative,2,Sales,3,1.0,3.0,2,0,0,3.0,2,1,1,1,3,Marketing,2
153,No,Male,1,Single,24060,20,5,Sales Executive,1,Sales,4,3.0,4.0,3,0,5,3.0,2,1,1,1,3,Marketing,5
154,No,Female,3,Married,22690,18,29,Manufacturing Director,1,Research & Development,3,1.0,1.0,3,11,4,1.0,10,1,3,2,3,Life Sciences,2
155,No,Female,2,Divorced,41080,14,10,Sales Executive,1,Sales,3,3.0,3.0,2,0,5,2.0,8,0,1,1,4,Marketing,3
156,No,Male,2,Married,132060,13,6,Sales Executive,4,Research & Development,3,4.0,4.0,3,0,2,4.0,4,2,0,0,4,Technical Degree,3
157,Yes,Male,1,Single,104220,17,5,Research Scientist,1,Research & Development,3,1.0,2.0,2,1,0,3.0,4,1,0,0,2,Medical,5
158,Yes,Male,1,Divorced,137440,20,2,Research Scientist,2,Research & Development,4,4.0,3.0,3,1,3,2.0,0,1,0,0,3,Medical,1
159,No,Female,2,Married,49070,11,1,Sales Executive,2,Sales,3,4.0,4.0,3,0,3,3.0,0,1,0,0,3,Marketing,0
160,No,Female,2,Married,34820,18,20,Sales Executive,1,Sales,3,3.0,3.0,2,1,2,3.0,12,1,2,0,4,Marketing,5
161,No,Female,1,Divorced,24360,24,3,Healthcare Representative,4,Research & Development,4,1.0,4.0,4,0,2,1.0,2,0,0,0,2,Medical,0
162,No,Female,1,Married,23800,18,5,Sales Executive,2,Research & Development,3,3.0,4.0,2,1,2,1.0,4,3,0,2,3,Medical,3
163,No,Female,1,Married,194310,11,10,Manufacturing Director,3,Research & Development,3,2.0,3.0,3,0,3,3.0,7,0,1,0,3,Medical,1
164,Yes,Male,1,Married,17900,16,2,Research Scientist,3,Research & Development,3,3.0,2.0,2,1,4,4.0,1,1,0,2,4,Life Sciences,3
165,Yes,Male,0,Single,76440,15,1,Sales Executive,1,Research & Development,3,1.0,4.0,3,0,2,4.0,0,2,0,0,3,Medical,0
166,No,Female,1,Married,51310,15,9,Research Scientist,3,Research & Development,3,3.0,1.0,3,7,2,3.0,8,1,1,0,4,Life Sciences,0
167,No,Male,3,Divorced,63060,12,1,Research Scientist,4,Research & Development,3,1.0,4.0,3,0,3,2.0,0,1,3,1,2,Life Sciences,0
168,No,Female,2,Married,47870,12,27,Manager,3,Sales,3,2.0,3.0,3,15,3,3.0,7,0,2,0,4,Life Sciences,2
169,No,Male,1,Single,188800,22,11,Laboratory Technician,3,Sales,4,3.0,4.0,3,6,3,2.0,7,1,1,0,2,Life Sciences,2
170,No,Female,3,Married,23390,20,18,Laboratory Technician,4,Research & Development,4,3.0,1.0,3,13,4,4.0,11,0,2,2,3,Life Sciences,3
171,No,Male,2,Divorced,135700,16,5,Manufacturing Director,5,Research & Development,3,1.0,4.0,2,0,2,3.0,4,2,2,2,3,Technical Degree,0
172,No,Male,2,Married,67120,21,3,Laboratory Technician,1,Sales,4,1.0,3.0,2,0,3,1.0,1,1,2,3,1,Technical Degree,0
173,No,Female,1,Single,54060,12,5,Laboratory Technician,2,Research & Development,3,4.0,3.0,3,4,2,3.0,3,1,0,0,2,Medical,3
174,No,Male,3,Single,89380,11,1,Human Resources,2,Research & Development,3,3.0,3.0,3,0,2,3.0,0,3,1,3,4,Medical,0
175,No,Male,1,Divorced,24390,11,7,Laboratory Technician,1,Sales,3,4.0,3.0,4,5,2,3.0,7,2,1,1,2,Life Sciences,1
176,No,Male,2,Married,88370,18,3,Healthcare Representative,1,Research & Development,3,3.0,4.0,2,1,3,3.0,2,0,1,1,3,Life Sciences,0
177,No,Male,1,Divorced,53430,14,13,Research Director,2,Research & Development,3,3.0,2.0,3,0,3,4.0,8,1,1,0,3,Life Sciences,1
178,Yes,Female,1,Married,67280,22,7,Research Director,4,Research & Development,4,2.0,3.0,2,7,2,4.0,7,0,1,3,3,Life Sciences,2
179,Yes,Male,1,Divorced,66520,25,4,Research Director,2,Sales,4,1.0,4.0,3,1,5,3.0,3,0,0,3,4,Marketing,1
180,No,Male,1,Single,48500,12,3,Sales Executive,1,Research & Development,3,4.0,2.0,3,1,4,3.0,2,1,0,0,3,Life Sciences,0
181,No,Female,1,Married,28090,23,8,Sales Representative,2,Research & Development,4,4.0,3.0,1,0,2,3.0,0,1,1,2,2,Medical,2
182,Yes,Female,1,Married,56890,15,1,Sales Executive,2,Research & Development,3,1.0,3.0,2,0,2,3.0,0,2,1,1,2,Medical,4
183,Yes,Male,1,Divorced,20010,22,3,Research Director,1,Sales,4,2.0,1.0,4,0,5,3.0,2,1,1,4,1,Marketing,3
184,No,Female,2,Married,29770,15,2,Research Scientist,1,Research & Development,3,2.0,3.0,2,2,3,3.0,0,3,0,2,4,Medical,0
185,No,Male,1,Single,40250,11,10,Research Scientist,1,Research & Development,3,2.0,4.0,3,9,3,2.0,7,0,1,0,4,Medical,0
186,Yes,Female,1,Single,37850,13,2,Laboratory Technician,2,Research & Development,3,3.0,3.0,3,1,2,3.0,2,2,0,2,3,Medical,1
187,No,Male,2,Married,108540,14,9,Laboratory Technician,1,Research & Development,3,2.0,4.0,3,6,6,3.0,7,1,1,1,3,Medical,1
188,No,Female,3,Single,120310,11,10,Sales Executive,1,Research & Development,3,1.0,2.0,3,7,5,3.0,7,0,3,1,3,Medical,0
189,No,Female,2,Single,99360,17,14,Research Scientist,2,Research & Development,3,4.0,4.0,2,1,2,3.0,10,1,1,3,2,Life Sciences,0
190,No,Female,1,Married,29660,18,11,Sales Representative,1,Research & Development,3,2.0,3.0,2,6,2,3.0,9,0,1,4,3,Medical,4
191,No,Female,2,Single,25710,14,20,Laboratory Technician,2,Research & Development,3,2.0,3.0,3,5,1,3.0,13,0,2,3,3,Life Sciences,3
192,No,Male,2,Married,99910,16,8,Research Scientist,1,Research & Development,3,3.0,3.0,3,0,3,3.0,7,1,0,0,1,Medical,2
193,No,Male,1,Single,61420,13,6,Research Director,3,Research & Development,3,2.0,4.0,2,0,2,4.0,5,2,1,2,4,Life Sciences,0
194,No,Male,2,Married,53900,14,10,Sales Executive,3,Research & Development,3,4.0,1.0,3,5,3,2.0,8,0,1,0,3,Medical,1
195,No,Female,2,Married,44040,23,8,Sales Executive,4,Research & Development,4,4.0,2.0,3,3,2,4.0,7,0,0,0,1,Medical,0
197,No,Male,1,Divorced,51300,11,3,Research Scientist,1,Research & Development,3,4.0,4.0,2,1,3,4.0,2,0,0,2,3,Medical,1
198,No,Female,1,Divorced,20900,16,6,Laboratory Technician,1,Research & Development,3,1.0,3.0,3,0,2,3.0,5,0,1,2,3,Medical,3
199,No,Female,1,Divorced,29090,14,5,Sales Executive,1,Research & Development,3,3.0,4.0,3,0,2,2.0,1,2,1,4,4,Life Sciences,0
